Developer,Repo Name,Number of Stars,Description,Link
google,robotstxt,"2,398",The repository contains Google's robots.txt parser and matcher as a C++ library (compliant to C++11).,https://github.com/google/robotstxt
open-deepnude,open-deepnude,301,Open source reverse-engineered clone of DeepNude,https://github.com/open-deepnude/open-deepnude
yuanxiaosc,DeepNude-an-Image-to-Image-technology,752,DeepNude related Image-to-Image theory and practice research. DeepNude相关的Image-to-Image理论与实践研究。,https://github.com/yuanxiaosc/DeepNude-an-Image-to-Image-technology
2d-inc,developer_quest,"1,487","Respository for the I/O 2019 demo: Become a tech lead, slay bugs, and don't get fired.",https://github.com/2d-inc/developer_quest
swiftwebui,SwiftWebUI,"1,392",A demo implementation of SwiftUI for the Web,https://github.com/swiftwebui/SwiftWebUI
diasurgical,devilution,"6,245",Diablo devolved - magic behind the 1996 computer game,https://github.com/diasurgical/devilution
segmentio,evergreen,"8,190",🌲 Evergreen React UI Framework by Segment,https://github.com/segmentio/evergreen
google,googletest,"12,045",Googletest - Google Testing and Mocking Framework,https://github.com/google/googletest
diasurgical,devilutionX,893,Diablo build for modern operating systems,https://github.com/diasurgical/devilutionX
TheAlgorithms,Python,"49,213",All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python
lantus,devilution-nx,326,Diablo for the Nintendo Switch,https://github.com/lantus/devilution-nx
awslabs,aws-cdk,"2,513",The AWS Cloud Development Kit is a framework for defining cloud infrastructure in code,https://github.com/awslabs/aws-cdk
sveltejs,svelte,"20,292",Cybernetically enhanced web apps,https://github.com/sveltejs/svelte
andkret,Cookbook,"1,706",The Data Engineering Cookbook,https://github.com/andkret/Cookbook
libuv,libuv,"12,872",Cross-platform asynchronous I/O,https://github.com/libuv/libuv
ory,hydra,"6,647","OpenID Certified™ OpenID Connect & OAuth2 Server (OP, OpenID Provider) - cloud native, security-first, open source API security for your infrastructure. Written in Go. SDKs for any language.",https://github.com/ory/hydra
darshanime,notes,"1,135","detailed notes on computer science topics, in one page",https://github.com/darshanime/notes
thingsboard,thingsboard,"3,664","Open-source IoT Platform - Device management, data collection, processing and visualization.",https://github.com/thingsboard/thingsboard
lazyprogrammer,machine_learning_examples,"3,411",A collection of machine learning examples and tutorials.,https://github.com/lazyprogrammer/machine_learning_examples
hollischuang,toBeTopJavaer,"4,389",To Be Top Javaer - Java工程师成神之路,https://github.com/hollischuang/toBeTopJavaer
php-ai,php-ml,"7,098",PHP-ML - Machine Learning library for PHP,https://github.com/php-ai/php-ml
Azure,azure-sdk-for-net,"1,400",.NET Libraries for Azure,https://github.com/Azure/azure-sdk-for-net
jroimartin,gocui,"4,743",Minimalist Go package aimed at creating Console User Interfaces.,https://github.com/jroimartin/gocui
jesseduffield,lazydocker,"6,560",The lazier way to manage everything docker,https://github.com/jesseduffield/lazydocker
llSourcell,Learn-Natural-Language-Processing-Curriculum,458,"This is the curriculum for ""Learn Natural Language Processing"" by Siraj Raval on Youtube",https://github.com/llSourcell/Learn-Natural-Language-Processing-Curriculum
